frontend_api_id,http_method,frontend_path,backend_api_ids,match_status,frontend_source
FEAPI-0265,GET,/system/user/getInfo,BEAPI-0613,exact-candidate,erp-ui/src/api/login.js:63
FEAPI-0266,DELETE,/auth/logout,BEAPI-0004,exact-candidate,erp-ui/src/api/login.js:71
FEAPI-0267,GET,/code,BEAPI-0647,exact-candidate,erp-ui/src/api/login.js:80
FEAPI-0268,GET,/system/menu/getRouters,BEAPI-0528,exact-candidate,erp-ui/src/api/menu.js:6
FEAPI-0269,GET,/schedule/job/list,BEAPI-0289,exact-candidate,erp-ui/src/api/monitor/job.js:6
FEAPI-0270,GET,/schedule/job/{jobId},BEAPI-0291,exact-candidate,erp-ui/src/api/monitor/job.js:15
FEAPI-0271,POST,/schedule/job,BEAPI-0292,exact-candidate,erp-ui/src/api/monitor/job.js:23
FEAPI-0272,PUT,/schedule/job,BEAPI-0293,exact-candidate,erp-ui/src/api/monitor/job.js:32
FEAPI-0273,DELETE,/schedule/job/{jobId},BEAPI-0296,exact-candidate,erp-ui/src/api/monitor/job.js:41
FEAPI-0274,PUT,/schedule/job/changeStatus,BEAPI-0294,exact-candidate,erp-ui/src/api/monitor/job.js:53
FEAPI-0275,PUT,/schedule/job/run,BEAPI-0295,exact-candidate,erp-ui/src/api/monitor/job.js:67
FEAPI-0276,GET,/schedule/job/log/list,BEAPI-0297,exact-candidate,erp-ui/src/api/monitor/jobLog.js:6
FEAPI-0277,GET,/schedule/job/log/{jobLogId},BEAPI-0299,exact-candidate,erp-ui/src/api/monitor/jobLog.js:15
FEAPI-0278,DELETE,/schedule/job/log/{jobLogId},BEAPI-0300,exact-candidate,erp-ui/src/api/monitor/jobLog.js:23
FEAPI-0279,DELETE,/schedule/job/log/clean,BEAPI-0301,exact-candidate,erp-ui/src/api/monitor/jobLog.js:31
FEAPI-0280,GET,/system/online/list,BEAPI-0636,exact-candidate,erp-ui/src/api/monitor/online.js:6
FEAPI-0281,DELETE,/system/online/{tokenId},BEAPI-0637,exact-candidate,erp-ui/src/api/monitor/online.js:15
FEAPI-0282,POST,/oa/attendance/checkIn,BEAPI-0303,exact-candidate,erp-ui/src/api/oa/attendance.js:5
FEAPI-0283,POST,/oa/attendance/checkOut,BEAPI-0304,exact-candidate,erp-ui/src/api/oa/attendance.js:9
FEAPI-0284,GET,/oa/attendance/{recordId},BEAPI-0305,exact-candidate,erp-ui/src/api/oa/attendance.js:13
FEAPI-0285,GET,/oa/attendance/my,BEAPI-0306,exact-candidate,erp-ui/src/api/oa/attendance.js:17
FEAPI-0286,GET,/oa/attendance/list,BEAPI-0307,exact-candidate,erp-ui/src/api/oa/attendance.js:21
FEAPI-0287,GET,/oa/fixedAsset/config/list,BEAPI-0309,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:5
FEAPI-0288,GET,/oa/fixedAsset/config/{configId},BEAPI-0310,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:13
FEAPI-0289,POST,/oa/fixedAsset/config/save,BEAPI-0311,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:20
FEAPI-0290,DELETE,/oa/fixedAsset/config/{configId},BEAPI-0312,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:28
FEAPI-0291,GET,/oa/fixedAsset/config/quota,BEAPI-0313,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:35
FEAPI-0292,GET,/oa/fixedAsset/repair/list,BEAPI-0321,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:43
FEAPI-0293,GET,/oa/fixedAsset/repair/{repairId},BEAPI-0322,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:51
FEAPI-0294,POST,/oa/fixedAsset/repair/submit,BEAPI-0324,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:58
FEAPI-0295,POST,/oa/fixedAsset/repair/precheck,BEAPI-0323,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:66
FEAPI-0296,POST,/oa/fixedAsset/repair/submit/batch,BEAPI-0325,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:74
FEAPI-0297,GET,/oa/fixedAsset/replenishment-outbox/dead,BEAPI-0316,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:82
FEAPI-0298,POST,/oa/fixedAsset/replenishment-outbox/{outboxId}/replay,BEAPI-0319,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:90
FEAPI-0299,GET,/oa/fixedAsset/replenishment-outbox/summary,BEAPI-0317,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:98
FEAPI-0300,GET,/oa/fixedAsset/replenishment-outbox/list,BEAPI-0318,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:105
FEAPI-0301,POST,/oa/fixedAsset/replenishment-outbox/{outboxId}/retry,BEAPI-0320,exact-candidate,erp-ui/src/api/oa/fixedAsset.js:113
FEAPI-0302,GET,/oa/laborContract/list,BEAPI-0334,exact-candidate,erp-ui/src/api/oa/laborContract.js:5
FEAPI-0303,GET,/oa/laborContract/{contractId},BEAPI-0335,exact-candidate,erp-ui/src/api/oa/laborContract.js:14
FEAPI-0304,POST,/oa/laborContract/save,BEAPI-0332,exact-candidate,erp-ui/src/api/oa/laborContract.js:22
FEAPI-0305,POST,/oa/laborContract/send,BEAPI-0333,exact-candidate,erp-ui/src/api/oa/laborContract.js:30
FEAPI-0306,POST,/oa/laborContract/{contractId}/void,BEAPI-0336,exact-candidate,erp-ui/src/api/oa/laborContract.js:38
FEAPI-0307,GET,/oa/laborContract/{contractId}/preview,BEAPI-0337,exact-candidate,erp-ui/src/api/oa/laborContract.js:45
FEAPI-0308,GET,/oa/laborContract/download/{contractId}/{kind},BEAPI-0339,exact-candidate,erp-ui/src/api/oa/laborContract.js:53
FEAPI-0309,POST,/oa/laborContract/verify,BEAPI-0338,exact-candidate,erp-ui/src/api/oa/laborContract.js:61
FEAPI-0310,GET,/oa/laborContract/template/list,BEAPI-0328,exact-candidate,erp-ui/src/api/oa/laborContract.js:70
FEAPI-0311,POST,/oa/laborContract/template,BEAPI-0329,exact-candidate,erp-ui/src/api/oa/laborContract.js:79
FEAPI-0312,GET,/oa/laborContract/seal,BEAPI-0331,exact-candidate,erp-ui/src/api/oa/laborContract.js:87
FEAPI-0313,POST,/oa/laborContract/seal,BEAPI-0330,exact-candidate,erp-ui/src/api/oa/laborContract.js:95
FEAPI-0314,GET,/oa/laborContract/mobile/my,BEAPI-0340,exact-candidate,erp-ui/src/api/oa/laborContract.js:103
FEAPI-0315,GET,/oa/laborContract/mobile/{contractId},BEAPI-0341,exact-candidate,erp-ui/src/api/oa/laborContract.js:111
FEAPI-0316,POST,/oa/laborContract/mobile/{contractId}/sign,BEAPI-0342,exact-candidate,erp-ui/src/api/oa/laborContract.js:118
FEAPI-0317,POST,/oa/purchase/save,BEAPI-0346,exact-candidate,erp-ui/src/api/oa/purchase.js:5
FEAPI-0318,POST,/oa/purchase/submit,BEAPI-0347,exact-candidate,erp-ui/src/api/oa/purchase.js:13
FEAPI-0319,GET,/oa/purchase/availability,BEAPI-0351,exact-candidate,erp-ui/src/api/oa/purchase.js:21
FEAPI-0320,POST,/oa/purchase/{purchaseId}/close,BEAPI-0348,exact-candidate,erp-ui/src/api/oa/purchase.js:29
FEAPI-0321,POST,/oa/purchase/{purchaseId}/withdraw,BEAPI-0349,exact-candidate,erp-ui/src/api/oa/purchase.js:36
FEAPI-0322,GET,/oa/purchase/my,BEAPI-0350,exact-candidate,erp-ui/src/api/oa/purchase.js:45
FEAPI-0323,GET,/oa/purchase/{purchaseId},BEAPI-0352,exact-candidate,erp-ui/src/api/oa/purchase.js:53
