permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
inv:transfer:list,26,erp-ui/src/views/inventory/transfer/index.vue:36 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:265 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:276 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:277 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:278 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:284 | erp-ui/src/views/mobile/mobileNavigation.js:20 | erp-ui/src/views/mobile/mobileNavigation.js:21 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:621,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftCategoryController.java:31 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:104 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:116 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:129 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:135 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:149 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:151 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:153 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:165,sql/erp_inventory_oe_replenishment_20260713.sql:127 | sql/erp_inventory_oe_replenishment_20260713.sql:63 | sql/erp_inventory_store_return_20260713.sql:85 | sql/erp_inventory_store_return_20260713.sql:99 | sql/erp_inventory_transfer_discrepancy_20260713.sql:69 | sql/erp_inventory_warehouse_transfer_menu_20260607.sql:11 | sql/erp_ux_p0_permission_hardening_20260613.sql:164 | sql/erp_ux_p0_permission_hardening_20260613.sql:180,待核验
inv:transfer:query,9,erp-ui/src/views/inventory/transfer/index.vue:1152 | erp-ui/src/views/inventory/transfer/index.vue:1157 | erp-ui/src/views/inventory/transfer/index.vue:1165,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:158 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:186 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:198 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:341 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:350,sql/erp_inventory_warehouse_transfer_menu_20260607.sql:35,待核验
inv:transfer:receive,13,erp-ui/src/views/inventory/transfer/index.vue:1149 | erp-ui/src/views/inventory/transfer/index.vue:1176 | erp-ui/src/views/inventory/transfer/index.vue:619 | erp-ui/src/views/mobile/feature/index.vue:513,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:288 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:299 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:314 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:327 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:151,sql/erp_inventory_store_return_20260713.sql:93 | sql/erp_inventory_store_transfer_receive_permission_20260703.sql:7 | sql/erp_inventory_transfer_discrepancy_20260713.sql:94 | sql/erp_multi_account_store_audit_remediation_20260620.sql:57,待核验
inv:transfer:records,5,erp-ui/src/views/inventory/transfer/records.vue:28 | erp-ui/src/views/mobile/mobileNavigation.js:19 | erp-ui/src/views/mobile/mobileNavigation.js:31,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:145,sql/erp_inventory_warehouse_transfer_menu_20260607.sql:13,待核验
inv:transfer:records:export,4,erp-ui/src/views/inventory/transfer/records.vue:30 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:16,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:463,sql/erp_inventory_warehouse_transfer_menu_20260607.sql:39,待核验
inv:transfer:records:query,5,erp-ui/src/views/inventory/transfer/records.vue:82,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:159 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:187 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:199,sql/erp_inventory_warehouse_transfer_menu_20260607.sql:38,待核验
inv:transfer:remove,6,erp-ui/src/views/inventory/transfer/index.vue:1180 | erp-ui/src/views/mobile/feature/index.vue:506 | erp-ui/src/views/mobile/feature/index.vue:508 | erp-ui/src/views/mobile/feature/index.vue:515,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:415 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:428,,待核验
inv:transfer:rule:add,3,erp-ui/src/views/inventory/transfer/rules.vue:209 | erp-ui/src/views/inventory/transfer/rules.vue:26,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:53,,待核验
inv:transfer:rule:edit,3,erp-ui/src/views/inventory/transfer/rules.vue:209 | erp-ui/src/views/inventory/transfer/rules.vue:61,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:62,,待核验
inv:transfer:rule:list,3,erp-ui/src/views/inventory/transfer/rules.vue:25 | erp-ui/src/views/mobile/mobileNavigation.js:48,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:37,,待核验
inv:transfer:rule:query,4,erp-ui/src/views/inventory/transfer/rules.vue:62,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:46 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:80 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:87,,待核验
inv:transfer:rule:remove,2,erp-ui/src/views/inventory/transfer/rules.vue:63,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalRuleController.java:71,,待核验
inv:transfer:submit,16,erp-ui/src/views/inventory/transfer/index.vue:1156 | erp-ui/src/views/inventory/transfer/index.vue:1167 | erp-ui/src/views/inventory/transfer/index.vue:1178 | erp-ui/src/views/inventory/transfer/index.vue:244 | erp-ui/src/views/inventory/transfer/index.vue:488 | erp-ui/src/views/mobile/feature/index.vue:460 | erp-ui/src/views/mobile/feature/index.vue:464 | erp-ui/src/views/mobile/feature/index.vue:505 | erp-ui/src/views/mobile/feature/index.vue:507 | erp-ui/src/views/mobile/feature/index.vue:514,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:160 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:173 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:188 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:200 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:224 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:441,,待核验
monitor:job:add,2,erp-ui/src/views/monitor/job/index.vue:49,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:81,,待核验
monitor:job:changeStatus,4,erp-ui/src/views/monitor/job/index.vue:140 | erp-ui/src/views/monitor/job/index.vue:144,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:153 | erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:166,,待核验
monitor:job:edit,3,erp-ui/src/views/monitor/job/index.vue:131 | erp-ui/src/views/monitor/job/index.vue:60,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:117,,待核验
monitor:job:export,6,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:28 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:29 | erp-ui/src/views/monitor/job/index.vue:81 | erp-ui/src/views/monitor/job/log.vue:92,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:58 | erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobLogController.java:49,,待核验
monitor:job:list,5,erp-ui/src/router/index.js:208 | erp-ui/src/views/mobile/mobileNavigation.js:44 | erp-ui/src/views/mobile/mobileNavigation.js:45,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:46 | erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobLogController.java:37,,待核验
monitor:job:query,6,erp-ui/src/views/monitor/job/index.vue:140 | erp-ui/src/views/monitor/job/index.vue:146 | erp-ui/src/views/monitor/job/index.vue:91 | erp-ui/src/views/monitor/job/log.vue:137,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:71 | erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobLogController.java:62,,待核验
monitor:job:remove,7,erp-ui/src/views/monitor/job/index.vue:138 | erp-ui/src/views/monitor/job/index.vue:71 | erp-ui/src/views/monitor/job/log.vue:72 | erp-ui/src/views/monitor/job/log.vue:82,erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobController.java:178 | erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobLogController.java:72 | erp-modules/erp-job/src/main/java/com/erp/job/controller/SysJobLogController.java:83,,待核验
monitor:online:forceLogout,2,erp-ui/src/views/monitor/online/index.vue:55,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserOnlineController.java:75,,待核验
monitor:online:list,2,erp-ui/src/views/mobile/mobileNavigation.js:46,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserOnlineController.java:41,,待核验
oa:attendance:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:18 | erp-ui/src/views/oa/attendance/index.vue:110,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaAttendanceController.java:77,,待核验
oa:attendance:list,4,erp-ui/src/views/mobile/feature/featureService.js:672 | erp-ui/src/views/oa/attendance/index.vue:226 | erp-ui/src/views/oa/index.vue:64,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaAttendanceController.java:68,,待核验
oa:attendance:query,2,erp-ui/src/views/oa/index.vue:64,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaAttendanceController.java:52,,待核验
oa:done:*,2,,,sql/erp_unified_approval_center_20260714.sql:1128 | sql/erp_unified_approval_seed_20260716.sql:690,待核验
oa:done:list,1,,,sql/erp_oa_purchase_permission_alignment_20260704.sql:35,待核验
oa:purchase:*,2,,,sql/erp_unified_approval_center_20260714.sql:1127 | sql/erp_unified_approval_seed_20260716.sql:689,待核验
oa:purchase:add,22,erp-ui/src/views/mobile/feature/index.vue:422 | erp-ui/src/views/mobile/feature/index.vue:434 | erp-ui/src/views/mobile/feature/index.vue:470 | erp-ui/src/views/mobile/feature/index.vue:471 | erp-ui/src/views/mobile/feature/index.vue:518 | erp-ui/src/views/oa/index.vue:80 | erp-ui/src/views/oa/purchase/index.vue:50 | erp-ui/src/views/oa/purchase/index.vue:89 | erp-ui/src/views/oa/purchase/index.vue:90 | erp-ui/src/views/oa/purchase/index.vue:91 | erp-ui/src/views/oa/purchase/index.vue:92,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:39 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:48 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:57 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:66 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:88 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:96 | erp-modules/erp-oa/src/main/java/com/erp/oa/service/impl/OaTodoServiceImpl.java:131,sql/erp_oa_purchase_permission_alignment_20260704.sql:15 | sql/erp_oa_purchase_permission_alignment_20260704.sql:27 | sql/erp_unified_approval_center_20260714.sql:1123 | sql/erp_unified_approval_seed_20260716.sql:685,待核验
oa:purchase:approvalStartOutbox,7,,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseApprovalStartOutboxController.java:39 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseApprovalStartOutboxController.java:47 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseApprovalStartOutboxController.java:54,sql/erp_unified_approval_seed_20260716.sql:1024 | sql/erp_unified_approval_seed_20260716.sql:1027 | sql/erp_unified_approval_seed_20260716.sql:1046 | sql/erp_unified_approval_seed_20260716.sql:1047,待核验
oa:purchase:export,7,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:17 | erp-ui/src/views/oa/purchase/index.vue:51,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:105,sql/erp_oa_purchase_permission_alignment_20260704.sql:16 | sql/erp_oa_purchase_permission_alignment_20260704.sql:28 | sql/erp_unified_approval_center_20260714.sql:1123 | sql/erp_unified_approval_seed_20260716.sql:685,待核验
oa:purchase:list,11,erp-ui/src/views/oa/index.vue:80,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:79 | erp-modules/erp-oa/src/main/java/com/erp/oa/service/impl/OaTodoServiceImpl.java:131 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:54,sql/erp_oa_purchase_permission_alignment_20260704.sql:13 | sql/erp_oa_purchase_permission_alignment_20260704.sql:25 | sql/erp_oa_purchase_permission_alignment_20260704.sql:33 | sql/erp_unified_approval_center_20260714.sql:1113 | sql/erp_unified_approval_center_20260714.sql:1122 | sql/erp_unified_approval_seed_20260716.sql:675 | sql/erp_unified_approval_seed_20260716.sql:684,待核验
oa:purchase:query,5,,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:96,sql/erp_oa_purchase_permission_alignment_20260704.sql:14 | sql/erp_oa_purchase_permission_alignment_20260704.sql:26 | sql/erp_unified_approval_center_20260714.sql:1122 | sql/erp_unified_approval_seed_20260716.sql:684,待核验
oa:salary:calculate,5,erp-ui/src/views/mobile/feature/index.vue:519 | erp-ui/src/views/oa/salary/index.vue:57,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:75 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:87,sql/erp_multi_account_store_audit_remediation_20260620.sql:72,待核验
oa:salary:config,5,erp-ui/src/views/oa/salary/index.vue:167 | erp-ui/src/views/oa/salary/index.vue:58,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:34 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:41,sql/erp_multi_account_store_audit_remediation_20260620.sql:73,待核验
oa:salary:export,4,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:19 | erp-ui/src/views/oa/salary/index.vue:59,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:102,sql/erp_multi_account_store_audit_remediation_20260620.sql:71,待核验
oa:salary:list,5,erp-ui/src/views/mobile/feature/featureService.js:677 | erp-ui/src/views/oa/index.vue:72 | erp-ui/src/views/oa/salary/index.vue:242,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:66,sql/erp_multi_account_store_audit_remediation_20260620.sql:70,待核验
oa:salary:query,2,erp-ui/src/views/oa/index.vue:72,erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaSalaryController.java:50,,待核验
oa:todo:*,2,,,sql/erp_unified_approval_center_20260714.sql:1128 | sql/erp_unified_approval_seed_20260716.sql:690,待核验
oa:todo:approve,23,erp-ui/src/views/approval/manage/components/RuleWizard.vue:249 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:141 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:144,erp-modules/erp-approval/src/main/java/com/erp/approval/service/ApprovalPermissionPolicy.java:13 | erp-modules/erp-oa/src/main/java/com/erp/oa/controller/OaPurchaseController.java:96,sql/erp_unified_approval_center_20260714.sql:1162 | sql/erp_unified_approval_center_20260714.sql:1176 | sql/erp_unified_approval_center_20260714.sql:1194 | sql/erp_unified_approval_center_20260714.sql:1208 | sql/erp_unified_approval_center_20260714.sql:1211 | sql/erp_unified_approval_center_20260714.sql:1219 | sql/erp_unified_approval_center_20260714.sql:1223 | sql/erp_unified_approval_center_20260714.sql:1248 | sql/erp_unified_approval_center_20260714.sql:1277 | sql/erp_unified_approval_seed_20260716.sql:724 | sql/erp_unified_approval_seed_20260716.sql:738 | sql/erp_unified_approval_seed_20260716.sql:756 | sql/erp_unified_approval_seed_20260716.sql:770 | sql/erp_unified_approval_seed_20260716.sql:773 | sql/erp_unified_approval_seed_20260716.sql:781 | sql/erp_unified_approval_seed_20260716.sql:785 | sql/erp_unified_approval_seed_20260716.sql:810 | sql/erp_unified_approval_seed_20260716.sql:839,待核验
oa:todo:list,3,,,sql/erp_oa_purchase_permission_alignment_20260704.sql:34 | sql/erp_unified_approval_center_20260714.sql:1162 | sql/erp_unified_approval_seed_20260716.sql:724,待核验
system:config:add,2,erp-ui/src/views/system/config/index.vue:66,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:114,,待核验
system:config:edit,6,erp-ui/src/views/hr/completeness/components/HrMasterDataIssues.vue:135 | erp-ui/src/views/system/config/index.vue:146 | erp-ui/src/views/system/config/index.vue:147 | erp-ui/src/views/system/config/index.vue:77 | erp-ui/src/views/system/config/index.vue:78,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:131,,待核验
system:config:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:23 | erp-ui/src/views/system/config/index.vue:99,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:69,,待核验
system:config:list,5,erp-ui/src/views/mobile/mobileNavigation.js:39,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:52,sql/erp_system_management_expand_20260714.sql:128 | sql/erp_system_management_expand_20260714.sql:130 | sql/erp_system_management_expand_20260714.sql:139,待核验
system:config:query,8,erp-ui/src/views/system/config/index.vue:146 | erp-ui/src/views/system/config/index.vue:77,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:83 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:94,sql/erp_system_management_expand_20260714.sql:30 | sql/erp_system_management_expand_20260714.sql:41 | sql/erp_system_management_permissions_20260714.sql:11 | sql/erp_system_management_permissions_20260714.sql:63,待核验
system:config:refresh,12,erp-ui/src/views/system/config/index.vue:109,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:161,sql/erp_system_management_expand_20260714.sql:136 | sql/erp_system_management_expand_20260714.sql:140 | sql/erp_system_management_expand_20260714.sql:173 | sql/erp_system_management_expand_20260714.sql:191 | sql/erp_system_management_expand_20260714.sql:31 | sql/erp_system_management_expand_20260714.sql:42 | sql/erp_system_management_expand_rollback_20260714.sql:48 | sql/erp_system_management_expand_rollback_20260714.sql:57 | sql/erp_system_management_permissions_20260714.sql:48 | sql/erp_system_management_permissions_20260714.sql:64,待核验
system:config:remove,3,erp-ui/src/views/system/config/index.vue:155 | erp-ui/src/views/system/config/index.vue:89,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysConfigController.java:148,,待核验
system:dept:add,3,erp-ui/src/views/system/dept/index.vue:149 | erp-ui/src/views/system/dept/index.vue:55,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:150,,待核验
system:dept:edit,7,erp-ui/src/views/hr/completeness/components/HrMasterDataIssues.vue:133 | erp-ui/src/views/system/dept/index.vue:142 | erp-ui/src/views/system/dept/index.vue:67,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:166 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:192 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLegalEntityController.java:53 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLegalEntityController.java:63,,待核验
system:dept:list,8,erp-ui/src/views/mobile/mobileNavigation.js:36,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:102 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:127 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:55 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:64 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:73 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLegalEntityController.java:39 | erp-modules/erp-system/src/main/java/com/erp/system/service/ISysDeptService.java:162,,待核验
system:dept:query,2,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:139 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLegalEntityController.java:46,,待核验
system:dept:remove,2,erp-ui/src/views/system/dept/index.vue:157,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDeptController.java:214,,待核验
system:dict:add,4,erp-ui/src/views/system/dict/data.vue:56 | erp-ui/src/views/system/dict/index.vue:71,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictDataController.java:92 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:71,,待核验
system:dict:edit,7,erp-ui/src/views/system/dict/data.vue:134 | erp-ui/src/views/system/dict/data.vue:67 | erp-ui/src/views/system/dict/index.vue:148 | erp-ui/src/views/system/dict/index.vue:155 | erp-ui/src/views/system/dict/index.vue:82,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictDataController.java:104 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:87,,待核验
system:dict:export,6,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:24 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:25 | erp-ui/src/views/system/dict/data.vue:88 | erp-ui/src/views/system/dict/index.vue:103,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictDataController.java:55 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:49,,待核验
system:dict:list,5,erp-ui/src/router/index.js:194 | erp-ui/src/views/mobile/mobileNavigation.js:40 | erp-ui/src/views/mobile/mobileNavigation.js:41,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictDataController.java:45 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:39,,待核验
system:dict:query,2,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictDataController.java:67 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:61,,待核验
system:dict:remove,8,erp-ui/src/views/system/dict/data.vue:141 | erp-ui/src/views/system/dict/data.vue:78 | erp-ui/src/views/system/dict/index.vue:113 | erp-ui/src/views/system/dict/index.vue:162 | erp-ui/src/views/system/dict/index.vue:93,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictDataController.java:116 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:103 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysDictTypeController.java:115,,待核验
system:logininfor:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:26 | erp-ui/src/views/system/logininfor/index.vue:103,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLogininforController.java:51,,待核验
system:logininfor:list,2,erp-ui/src/views/mobile/mobileNavigation.js:42,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLogininforController.java:41,,待核验
system:logininfor:query,10,,,sql/erp_system_management_expand_20260714.sql:31 | sql/erp_system_management_expand_20260714.sql:42 | sql/erp_system_management_permissions_20260714.sql:18 | sql/erp_system_management_permissions_20260714.sql:26 | sql/erp_system_management_permissions_20260714.sql:31 | sql/erp_system_management_permissions_20260714.sql:35 | sql/erp_system_management_permissions_20260714.sql:40 | sql/erp_system_management_permissions_20260714.sql:64 | sql/erp_system_management_permissions_rollback_20260714.sql:14 | sql/erp_system_management_permissions_rollback_20260714.sql:21,待核验
system:logininfor:remove,4,erp-ui/src/views/system/logininfor/index.vue:72 | erp-ui/src/views/system/logininfor/index.vue:82,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLogininforController.java:60 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLogininforController.java:68,,待核验
system:logininfor:unlock,2,erp-ui/src/views/system/logininfor/index.vue:93,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysLogininforController.java:77,,待核验
system:menu:add,3,erp-ui/src/views/system/menu/index.vue:132 | erp-ui/src/views/system/menu/index.vue:45,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysMenuController.java:93,,待核验
system:menu:edit,4,erp-ui/src/views/system/menu/index.vue:125 | erp-ui/src/views/system/menu/index.vue:57,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysMenuController.java:117 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysMenuController.java:145,,待核验
system:menu:list,2,erp-ui/src/views/mobile/mobileNavigation.js:37,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysMenuController.java:44,,待核验
system:menu:query,1,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysMenuController.java:56,,待核验
system:menu:remove,2,erp-ui/src/views/system/menu/index.vue:139,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysMenuController.java:167,,待核验
system:notice:add,5,erp-ui/src/views/system/notice/index.vue:102 | erp-ui/src/views/system/notice/index.vue:46,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:122 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:136 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:83,,待核验
system:notice:edit,7,erp-ui/src/views/system/notice/index.vue:49 | erp-ui/src/views/system/notice/index.vue:88 | erp-ui/src/views/system/notice/index.vue:92,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:104 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:122 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:136 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:203,,待核验
system:notice:list,4,erp-ui/src/views/system/notice/index.vue:93,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:268 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:51,sql/erp_system_notice_workflow_20260714.sql:136,待核验
system:notice:publish,8,erp-ui/src/views/system/notice/index.vue:326,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:150 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:167 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:185,sql/erp_system_notice_workflow_20260714.sql:133 | sql/erp_system_notice_workflow_20260714.sql:137 | sql/erp_system_notice_workflow_20260714.sql:145 | sql/erp_system_notice_workflow_rollback_20260714.sql:36,待核验
system:notice:query,1,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:63,,待核验
system:notice:remove,3,erp-ui/src/views/system/notice/index.vue:52 | erp-ui/src/views/system/notice/index.vue:94,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysNoticeController.java:281,,待核验
system:operlog:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:27 | erp-ui/src/views/system/operlog/index.vue:117,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysOperlogController.java:49,,待核验
system:operlog:list,2,erp-ui/src/views/mobile/mobileNavigation.js:43,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysOperlogController.java:38,,待核验
