permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
hr:onboarding:list,13,erp-ui/src/views/hr/completeness/index.vue:152 | erp-ui/src/views/mobile/hr/index.vue:119 | erp-ui/src/views/mobile/mobileNavigation.js:102 | erp-ui/src/views/mobile/mobileNavigation.js:103 | erp-ui/src/views/mobile/mobileNavigation.js:112 | erp-ui/src/views/mobile/mobileNavigation.js:542 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:54 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:57,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:44 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:62 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:112,sql/erp_hr_personnel_management_20260708.sql:208 | sql/erp_user_hr_onboarding_20260710.sql:290,待核验
hr:onboarding:query,7,erp-ui/src/views/hr/completeness/index.vue:152 | erp-ui/src/views/hr/onboarding/index.vue:182 | erp-ui/src/views/mobile/hr/index.vue:122 | erp-ui/src/views/mobile/hr/onboarding/index.vue:231 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:106,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:79,sql/erp_user_hr_onboarding_20260710.sql:301,待核验
hr:onboarding:ready,4,erp-ui/src/views/hr/onboarding/onboardingFieldConfig.js:17 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:182,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:108,sql/erp_user_hr_onboarding_20260710.sql:304,待核验
hr:onboarding:restore,4,erp-ui/src/views/hr/onboarding/onboardingFieldConfig.js:21 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:186,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:135,sql/erp_user_hr_onboarding_20260710.sql:308,待核验
hr:onboarding:return,4,erp-ui/src/views/hr/onboarding/onboardingFieldConfig.js:18 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:183,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:117,sql/erp_user_hr_onboarding_20260710.sql:305,待核验
hr:onboarding:workbench,7,erp-ui/src/views/mobile/mobileNavigation.js:101 | erp-ui/src/views/mobile/mobileNavigation.js:238 | erp-ui/src/views/mobile/mobileNavigation.js:541 | erp-ui/src/views/mobile/mobileNavigation.js:550 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:37,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:54,sql/erp_user_hr_onboarding_20260710.sql:300,待核验
hr:team:direct,5,,erp-modules/erp-system/src/main/java/com/erp/system/service/impl/HrTeamServiceImpl.java:55,sql/erp_hr_team_permission_20260713.sql:47 | sql/erp_hr_team_permission_20260713.sql:50 | sql/erp_hr_team_permission_20260713.sql:69 | sql/erp_hr_team_permission_20260713.sql:89,待核验
hr:team:healthCertificate,4,,,sql/erp_hr_team_permission_20260713.sql:57 | sql/erp_hr_team_permission_20260713.sql:61 | sql/erp_hr_team_permission_20260713.sql:69 | sql/erp_hr_team_permission_20260713.sql:77,待核验
hr:team:list,10,erp-ui/src/views/mobile/mobileRouteDefinitions.js:181 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:185,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrTeamController.java:32 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrTeamController.java:44,sql/erp_hr_team_permission_20260713.sql:22 | sql/erp_hr_team_permission_20260713.sql:25 | sql/erp_hr_team_permission_20260713.sql:28 | sql/erp_hr_team_permission_20260713.sql:69 | sql/erp_hr_team_permission_20260713.sql:77 | sql/erp_hr_team_permission_20260713.sql:89,待核验
hr:team:store,5,,erp-modules/erp-system/src/main/java/com/erp/system/service/impl/HrTeamServiceImpl.java:54,sql/erp_hr_team_permission_20260713.sql:37 | sql/erp_hr_team_permission_20260713.sql:40 | sql/erp_hr_team_permission_20260713.sql:69 | sql/erp_hr_team_permission_20260713.sql:77,待核验
inv:audit:list,2,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvDocumentStatusLogController.java:21,sql/erp_ux_p0_permission_hardening_20260613.sql:84,待核验
inv:category:add,4,erp-ui/src/views/inventory/category/index.vue:155 | erp-ui/src/views/inventory/category/index.vue:31 | erp-ui/src/views/inventory/category/index.vue:85,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductCategoryController.java:49,,待核验
